"food|bread|milk|cheese|fruit|vegetable|meat|olive oil|butter|yogurt|eggs|pasta|rice|beans|lentils|cereal|oats|honey|jam|jelly|peanut butter|nuts|seeds|chicken|beef|french fries|pork|fish|shrimp|crab|lobster|salmon|tuna|cod|sardines|trout|duck|lamb|tofu|tempeh|soy milk|almond milk|coconut milk|flour|sugar|salt|pepper|spices|herbs|garlic|onion|tomato|potato|carrot|broccoli|spinach|lettuce|cucumber|zucchini|eggplant|bell pepper|mushroom|corn|peas|green beans|asparagus|artichoke|cauliflower|cabbage|kale|brussels sprouts|avocado|apple|banana|orange|lemon|lime|grape|watermelon|melon|strawberry|blueberry|raspberry|blackberry|pineapple|mango|papaya|kiwi|peach|plum|apricot|cherry|grapefruit|pomegranate|fig|date|coconut|cranberry|raisins|currants|dried fruit|chocolate|candy|cookies|cake|pie|ice cream|sorbet|pudding|custard|soup|stew|sauce|ketchup|mustard|mayonnaise|vinegar|soy sauce|salsa|hummus|guacamole|snacks|chips|crackers|pretzels|popcorn|granola|energy bar|protein bar|breakfast bar|pizza|sandwich|burger|hot dog|sausage|bacon|ham|salami|pepperoni|prosciutto|pastrami|pancake|waffle|bagel|muffin|croissant|doughnut|biscuit|scone|quiche|omelette|frittata|curry|noodles|dumplings|sushi|taco|burrito|enchilada|quesadilla|nachos|falafel|shawarma|kebab|risotto|paella|gnocchi|lasagna|ravioli|spaghetti|macaroni|cheesecake|tiramisu|baklava",Food
"utility|water|electricity|gas|internet",Utility
"kitchen|cookware|utensils|appliance|cutlery",Kitchen
"office|paper|stapler|pen|printer|notebook",Office
"clothing|apparel|garment|shirt|t-shirt|blouse|tank top|sweater|hoodie|sweatshirt|cardigan|jacket|coat|blazer|vest|pants|trousers|jeans|shorts|leggings|skirt|dress|gown|suit|tuxedo|overalls|jumpsuit|romper|swimwear|bikini|swimsuit|board shorts|underwear|briefs|boxers|panties|thong|bra|lingerie|nightwear|pajamas|robe|socks|stockings|tights|hosiery|shoe|shoes|sneakers|boots|sandals|flip-flops|heels|flats|loafers|slippers|hat|cap|beanie|beret|fedora|sun hat|scarf|gloves|mittens|belt|tie|necktie|bow tie|suspenders|handkerchief|pocket square|cufflinks|watch|wristwatch|bracelet|necklace|earrings|ring|jewelry|accessory|sunglasses|eyewear|eyeglasses|contact lenses|umbrella|backpack|handbag|purse|wallet|clutch|duffel bag|tote bag|waist bag|fanny pack|gym bag|messenger bag|briefcase",Clothing
"electronics|phone|smartphone|cellphone|mobile phone|laptop|notebook|desktop|computer|pc|monitor|screen|display|camera|digital camera|dslr|mirrorless|tablet|ipad|e-reader|kindle|tv|television|smart tv|led tv|lcd tv|plasma tv|speaker|headphones|headset|earphones|earbuds|microphone|mp3 player|audio player|video player|blu-ray player|dvd player|projector|printer|scanner|router|modem|hard drive|ssd|usb|flash drive|memory card|sd card|battery|charger|power bank|cable|adapter|drone|smartwatch|fitness tracker|wearable|gaming console|playstation|xbox|nintendo|vr headset|graphics card|gpu|cpu|processor|motherboard|power supply|keyboard|mouse|webcam|home theater|soundbar|surround sound|satellite receiver|gps|car stereo|dash cam|security camera|smart home|thermostat|smart light|doorbell camera|robot vacuum|3d printer|electronic component|circuit board|soldering iron|multimeter|oscilloscope",Electronics
"cleaning|detergent|soap|bleach|cleaner|broom",Cleaning Supplies
"beverage|juice|soda|coffee|tea|water|wine|beer",Beverages
"furniture|table|chair|sofa|desk|bed|cabinet",Furniture
"toy|game|puzzle|doll|lego|action figure",Toys
"book|novel|magazine|journal|comic|literature",Books
"pet|dog|cat|bird|fish|leash|pet food",Pet Supplies
"garden|plant|flower|soil|seed|lawn|gardening",Gardening
"health|vitamin|medicine|supplement|bandage|first aid",Health
"beauty|makeup|cosmetic|skincare|perfume|lotion",Beauty
"travel|luggage|passport|ticket|map|travel guide",Travel
"sports|ball|racket|glove|helmet|bat|soccer|basketball",Sports
"automotive|car|tire|engine|oil|brake|vehicle",Automotive
"baby|diaper|bottle|stroller|pacifier|baby food",Baby Products
"music|instrument|guitar|piano|drum|violin|microphone",Music
"bathroom|toothbrush|toothpaste|shampoo|conditioner|soap|towel|bath mat|bathroom cleaner",Bathroom Products